domain,is_scam,prediction,reasoning
www4.aldeee.com/pcgame/fps/764664.html,1,30.0,"Content does not match official WPS domain, claims to be a gaming page but displays generic corporate footer, no direct fraudulent claims like unrealistic returns or fake testimonials detected."
a.okooo.com,1,0.0,"The page only shows a generic 405 error/block message indicating a server-side security restriction. There is no website content to analyze for fraudulent characteristics such as mismatched domain, gambling, unrealistic returns, fake user counts, or fake testimonials. Generic error pages are not evidence of fraud."
institutionalclient.sterbc.com/,1,0.0,"The webpage is a simple login page with no content that suggests fraudulent activity. There are no claims of unrealistic financial returns, high user counts, fake testimonials, or indications of gambling. The domain appears to be a subdomain for institutional client login, which is a common and legitimate practice for financial or service platforms."
sterbcwm-usa.com,1,-1.0,ERROR: Could not fetch page
bat1rbcexpressenligne.com/webapp/ukv0/signin/rbc-business-banking/login.xhtml?target=/,1,85.0,"The domain does not match the official RBC Royal Bank domain (rbcroyalbank.com), and the page mimics a legitimate banking login page, which is a common tactic for phishing sites. However, there are no claims of unrealistic financial returns, gambling content, fake testimonials, or inflated user counts. The primary red flag is domain mismatch, suggesting potential phishing."
ca.spinspectacles.com,1,20.0,"The page appears to be a gambling-related promotion offering free spins to attract users, which matches common legitimate casino marketing tactics. However, it uses high-pressure language like 'Try your Luck Today!' and 'Grab your chance', and requires personal information to claim the offer, which is typical for such sites. There is no mention of unrealistic financial returns, fake testimonials, or exaggerated user counts. The domain is specifically tailored ('ca.') for Canadian audiences, aligning with common regional gambling site practices. While the site is clearly promoting gambling, there are no clear signs of fraud such as false claims or scams; it operates similarly to many legitimate online casino affiliate offers."
www.gatedee.com,1,85.0,"The website is selling WeChat accounts with claims of being 'real-name verified', 'anti-ban', and having unrealistic anti-complaint features, which violate WeChat's official terms of service. While not a direct domain mismatch (as gatedee.com is not an official WeChat domain), it promotes account trading—a practice prohibited by WeChat. There are no explicit claims of unrealistic financial returns, gambling, high user counts, or fake testimonials, but the activity is inherently suspicious and likely fraudulent in the context of violating platform policies."
www.kcuentos.com,1,95.0,"The website is selling WeChat accounts, which is against WeChat's terms of service. It operates as an automated marketplace for bulk sales of accounts (including aged, verified, and phone-bundled accounts), which is a clear violation of platform policies and typical of fraudulent or illicit operations. The content promotes illegal account trading with unrealistic claims of 'safe' and 'stable' accounts despite the inherent risks, and the site likely operates without official authorization."
console.po0.com/store/tencent-can-bgp,0,35.0,"The webpage appears to be selling Tencent Cloud server hosting plans through a third-party company (PortChannel Zero LLC). The prices and specifications seem plausible for reseller hosting, and there are no obvious claims of unrealistic financial returns, fake testimonials, or unheard-of user counts. However, the domain 'console.po0.com' does not match Tencent Cloud's official domain ('cloud.tencent.com'), which is a potential red flag for impersonation, though it could also be a legitimate reseller. The site is not gambling-related. The lack of clear fraudulent signs prevents a high score."
shop.efuncard.com/,1,85.0,"The website is selling virtual card numbers (卡密) at extremely low prices (as low as ¥1.88 / $0.26 USD) for bypassing subscription services (like Gemini, GPT Plus, AWS trials, etc.), often promoting '0刀订阅' (zero-dollar subscriptions), which involves exploiting payment systems. The content includes warnings about account bans ('封户严重') and lacks proper customer support ('激活问题以外 其他所有问题都不售后'), shifting support to a Telegram group. The domain 'efuncard.com' seems unofficial for such services, as legitimate card issuers do not operate this way. It claims high inventory ('库存：非常多') for unrealistic offerings. While not traditional gambling, it facilitates potentially fraudulent financial exploitation (e.g., circumventing paid subscriptions), making it suspicious and high-risk."
kids-math-games.com/,1,95.0,"Domain 'kids-math-games.com' suggests content for children's educational math games, but the webpage exclusively promotes real-money online casino gambling ('Crazy Time Live Casino Show'), which is a severe mismatch. The site lists multiple online casinos with unrealistic high-return bonuses (e.g., 450% up to $2400, 500% bonuses) and claims potential multipliers up to 20,000x, typical of gambling fraud. While it lacks fake testimonials or inflated user counts, the clear mismatch and promotion of gambling with unrealistic returns strongly indicate fraudulent intent to deceive users."
152.53.0.11:443/,1,-1.0,ERROR: Could not fetch page
